ToOtherState,Owner,manufacture_r,active_r,county_name,state_fips,highschool_r,Manufacture,65to74,White,MedianIncome,SameHouse,State,Management,Black,Unemployed,Hispanic,white_r,MedianAge,NotInLabor,CountyFIPS,Bachelor,univ_r,homeowner_r,BornInState,FromOtherCounty,Population,unemp_r,management_r,Foodstamp,FromOtherState,hisp_r,ToOtherCounty,Tenure,Agriculture,Labor,18to24,agriculture_r,HighSchool,CountyState,black_r
516,12270,0.12200660611065235,0.4425664100865672,Chilton County,01,0.26844978415294307,2364,3804,35342,23499,38260,Alabama,4769,4484,1804,3366,0.8072451520065782,38.3,13355,021,3978,0.09086133254151345,0.7536392113506541,34037,901,43781,0.041205088965532995,0.24612923203963666,5,724,0.07688266599666523,1746,16281,531,19376,3663,0.027405037159372418,11753,"Chilton County, Alabama",0.1024188574952605
84,4537,0.17305200814362393,0.3988631330282002,Choctaw County,01,0.24863428318322753,935,1536,7551,17498,12114,Alabama,1282,5896,725,56,0.5574339288350805,44.6,5102,023,1222,0.09021113243761997,0.8210278682591386,7277,254,13546,0.0535213347113539,0.23727558763649825,0,185,0.004134061715635612,377,5526,366,5403,1071,0.06774014436424208,3368,"Choctaw County, Alabama",0.43525764063192085
112,6868,0.1653312487785812,0.40401089574039717,Clarke County,01,0.29868540523469267,1692,2444,13548,19093,23212,Alabama,1921,11401,1987,110,0.5348387351466583,41.1,8890,025,2055,0.08112589317437133,0.701460524971913,21610,317,25331,0.07844143539536537,0.1877076411960133,0,155,0.004342505230744937,1143,9791,317,10234,2155,0.030975180769982413,7566,"Clarke County, Alabama",0.450080928506573
79,4087,0.2897507897507898,0.4184475288242638,Clay County,01,0.2560769626202541,1651,1375,10900,19250,12022,Alabama,1194,1986,624,424,0.8004700007343761,43.6,4621,027,825,0.060586032165675256,0.7334888729361091,10631,456,13617,0.04582507160167438,0.20954720954720954,42,154,0.03113754865241977,556,5572,241,5698,976,0.0422955422955423,3487,"Clay County, Alabama",0.14584710288609826
390,4378,0.17645206988824177,0.423815877251501,Cleburne County,01,0.2656437625083389,1121,1522,13897,20059,13353,Alabama,1567,430,516,331,0.9270847231487659,41.3,4907,029,1089,0.07264843228819212,0.7763787905657031,8696,254,14990,0.03442294863242162,0.2466551235636707,0,158,0.022081387591727817,309,5639,293,6353,1105,0.04611994333385802,3982,"Cleburne County, Alabama",0.028685790527018012
2381,13233,0.09995324918186069,0.42167724638252574,Coffee County,01,0.20188857784962347,2138,4291,36434,23473,42505,Alabama,6422,8671,1519,3236,0.7182509955446911,38.2,15120,031,7975,0.15721720616646295,0.6933354291103426,30207,1780,50726,0.029945195757599654,0.3002337540906966,21,2502,0.0637937152545046,1828,19086,627,21390,4239,0.029312762973352034,10241,"Coffee County, Alabama",0.1709379805228088
876,15976,0.16614754448094893,0.43010772421133764,Colbert County,01,0.235837110715531,3894,5477,43099,21375,48082,Alabama,5682,8712,2282,1276,0.7909379530564681,42.3,18704,033,6706,0.12306619441742674,0.7118795116299795,42223,1860,54491,0.04187847534455231,0.24243717199300252,19,608,0.023416711016498136,1971,22442,381,23437,4575,0.01625634680206511,12851,"Colbert County, Alabama",0.1598796131471252
112,3883,0.12417627677100494,0.3739699653446284,Conecuh County,01,0.29464767038891027,603,1411,6629,15578,12376,Alabama,705,5821,1280,206,0.5105121293800539,43.6,5174,035,743,0.05721986907970735,0.7719681908548708,10981,84,12985,0.09857527916827108,0.1451812191103789,6,24,0.015864458991143627,603,5030,247,4856,1157,0.05086490939044481,3826,"Conecuh County, Alabama",0.4482864844050828
186,3610,0.1955527847049044,0.4278474259802614,Coosa County,01,0.2888770338757002,941,1165,7311,17598,9660,Alabama,780,3524,954,238,0.6500400106695119,44.8,4003,037,745,0.06623988619187339,0.811965811965812,9553,789,11247,0.08482261936516404,0.16209476309226933,0,49,0.02116119854183338,648,4446,56,4812,890,0.011637572734829594,3249,"Coosa County, Alabama",0.3133279985773984
529,11329,0.13557959814528595,0.4269950634882923,Covington County,01,0.23824608642855258,2193,3921,31656,19715,32804,Alabama,3724,4868,1628,564,0.8356695968955413,42.6,12814,039,3854,0.1017396584039492,0.7563255223980239,27926,927,37881,0.04297669016129458,0.23023183925811438,40,581,0.014888730498138908,1117,14979,859,16175,3005,0.05310664605873261,9025,"Covington County, Alabama",0.1285076951506032
91,3921,0.17969250480461244,0.44798392882766536,Crenshaw County,01,0.2638829100301334,1122,1312,9873,20638,11856,Alabama,1511,3269,668,229,0.7083512699095996,41,4247,041,1188,0.0852346104175635,0.7228982300884956,11543,656,13938,0.04792653178361314,0.2419923126201153,0,271,0.016429903859951214,347,5424,282,6244,1169,0.04516335682254965,3678,"Crenshaw County, Alabama",0.2345386712584302
888,23501,0.15206677491952256,0.4351539643972827,Cullman County,01,0.227859870084792,5338,7953,74464,21376,70395,Alabama,9230,1096,2988,3481,0.9230921802945405,40.5,26509,043,8386,0.103956959389101,0.754204107830552,62418,2093,80668,0.037040710070907916,0.26294048941685894,55,1028,0.04315217930282144,2241,31160,974,35103,6939,0.027746916217987066,18381,"Cullman County, Alabama",0.013586552288391927
2626,11953,0.09515749882463563,0.4252894247495651,Dale County,01,0.20596644872333195,2024,4119,35116,23453,39663,Alabama,5214,9712,2238,2929,0.7021374442644912,36.6,13832,045,5588,0.11173094995301222,0.6139188495120699,28199,2497,50013,0.0447483654249895,0.24513399153737658,30,3460,0.058564773158978664,2289,19470,564,21270,4820,0.026516220028208744,10301,"Dale County, Alabama",0.1941895107272109
549,9892,0.16935148308862866,0.3935849144889222,Dallas County,01,0.2295346606461877,2849,3667,12251,16162,36872,Alabama,3624,29758,2959,160,0.2866200313501626,37.9,14649,047,4006,0.09372294878693588,0.6084015007073006,37404,916,42743,0.06922770980043516,0.21541936634369613,0,685,0.003743302996981962,1339,16259,546,16823,4018,0.03245556678357011,9811,"Dallas County, Alabama",0.6962075661511826
1279,18592,0.24570936319660724,0.4246559923460056,DeKalb County,01,0.23099867743478628,7416,6143,57599,20048,62385,Alabama,6603,1279,2853,9922,0.8104088696288375,38.8,22373,049,5324,0.07490784253032051,0.7514044376187204,48763,2173,71074,0.04014126122069955,0.21877277847723808,21,742,0.13960097926105186,2579,24743,1197,30182,6138,0.03965939964217083,16418,"DeKalb County, Alabama",0.01799532881222388
1742,21633,0.11526080314273243,0.4563688201093114,Elmore County,01,0.23657573984387645,4225,6319,59434,25633,67542,Alabama,10946,16631,2931,2180,0.7399559268435403,37.6,19482,051,11549,0.14378556043873955,0.7559492609288185,57780,6078,80321,0.03649107954333238,0.29861414229594063,15,1270,0.027141096350892045,4579,28617,247,36656,7817,0.006738323876036665,19002,"Elmore County, Alabama",0.20705668505123193
828,9677,0.1352112676056338,0.3826034383050313,Escambia County,01,0.274196940223963,1968,3452,23179,18740,35239,Alabama,2977,12361,2317,768,0.6093002470953157,39.4,12616,053,3242,0.08522159718206193,0.7044478415956905,27156,992,38042,0.06090636664738973,0.20453452421848162,172,406,0.02018821302770622,843,13737,404,14555,3650,0.027756784610099623,10431,"Escambia County, Alabama",0.32493034015036015
565,28337,0.16333901651112706,0.42809672896298717,Etowah County,01,0.22229798513339608,7281,9767,81954,20446,87787,Alabama,11344,16000,4784,3669,0.7870656704377389,40.5,35040,055,11046,0.10608301480898143,0.7084072898177546,82623,3775,104126,0.04594433666903559,0.25448671931083994,40,967,0.035236156195378676,3396,40001,311,44576,9061,0.006976848528356066,23147,"Etowah County, Alabama",0.15365998885965082
126,5058,0.21677690920024054,0.39085727716082025,Fayette County,01,0.26693695281743934,1442,1789,14559,17445,14604,Alabama,1541,2088,695,128,0.8554556671954874,43.4,6444,057,1649,0.09689170926611435,0.7259939715803072,14420,564,17019,0.04083671191021799,0.23165965123271196,0,398,0.007521005934543745,723,6967,408,6652,1363,0.06133493686109441,4543,"Fayette County, Alabama",0.12268640930724485
797,8364,0.2834968516620296,0.43135520955057954,Franklin County,01,0.24337554874774975,3872,2928,24970,20777,27390,Alabama,2457,1545,1278,4882,0.7886176294097211,38.5,10015,059,2314,0.07308214635378833,0.6829427614926105,22353,1352,31663,0.0403625682973818,0.17989456728657197,48,544,0.15418627420017056,855,12247,256,13658,2800,0.018743593498316006,7706,"Franklin County, Alabama",0.04879512364589584
794,7972,0.11714285714285715,0.44376491646778043,Geneva County,01,0.26927953460620524,1394,2808,22582,20014,21642,Alabama,2466,2605,1230,947,0.8421091885441527,41.9,8634,061,2106,0.07853520286396182,0.731510368875023,19115,1277,26816,0.045868138424821,0.20722689075630252,4,508,0.035314737470167064,1450,10898,733,11900,2131,0.06159663865546219,7221,"Geneva County, Alabama",0.09714349642004773
68,2344,0.15303265940902022,0.36542395999090704,Greene County,01,0.24539668106387816,492,799,1559,14696,7996,Alabama,415,7107,774,39,0.17719936349170265,42.5,3467,063,678,0.0770629688565583,0.7141986593540524,8138,178,8798,0.0879745396681064,0.1290824261275272,27,104,0.004432825642191407,150,3282,72,3215,842,0.0223950233281493,2159,"Greene County, Alabama",0.8077972266424187
233,4556,0.14513690576180077,0.3867342298447346,Hale County,01,0.2744754109010589,864,1408,6128,17673,13932,Alabama,1328,8995,790,164,0.39810303384655366,40.6,5474,065,1449,0.0941336971350614,0.7681672567863767,13723,304,15393,0.05132202949392581,0.22308079959684193,0,122,0.010654193464561814,483,5931,369,5953,1352,0.061985553502435745,4225,"Hale County, Alabama",0.584356525693497
198,5366,0.12606289647725738,0.4290098436595252,Henry County,01,0.25518239722061375,934,1939,11767,21567,15673,Alabama,2269,4777,830,418,0.6813549507817024,43.1,5929,067,2062,0.11939779965257673,0.7776811594202898,12028,504,17270,0.04806022003474233,0.30624915643136724,0,210,0.024203821656050957,1076,6900,301,7409,1210,0.040626265352949116,4407,"Henry County, Alabama",0.27660683265778807
2414,25516,0.08942102398794323,0.46346976590770184,Houston County,01,0.22923194831148924,4272,8952,70059,22084,87733,Alabama,13424,26960,3711,3251,0.6796631709659582,38.7,29476,069,13990,0.13572114591720913,0.6465639570241233,68124,2596,103079,0.036001513402341895,0.280989659647507,73,2775,0.0315389167531699,4110,39464,535,47774,8500,0.011198559886130532,23629,"Houston County, Alabama",0.26154696882973255
784,15213,0.21608976302906902,0.43542971402701275,Jackson County,01,0.26207273824794386,4988,5581,47536,20786,47946,Alabama,5468,1715,2338,1413,0.8967026333660303,42.1,17799,071,4812,0.09077190070172791,0.7448225214198286,36730,1012,53012,0.04410322191201992,0.2368842871377204,53,651,0.026654342413038556,1255,20425,757,23083,4134,0.032794697396352296,13893,"Jackson County, Alabama",0.03235116577378707
11492,165697,0.0768295739348371,0.48449230003308874,Jefferson County,01,0.1788826927572044,24524,47937,337392,24865,544581,Alabama,111504,278587,30904,25116,0.5121047183357265,37.4,178904,073,134400,0.20399675790866895,0.6387776265723968,498756,18486,658834,0.04690711165483263,0.3493233082706767,72,12613,0.03812189413418251,20520,259397,2051,319200,62423,0.006425438596491228,117854,"Jefferson County, Alabama",0.422848547585583
215,4528,0.21803143093465674,0.4236753574432296,Lamar County,01,0.2707457246986263,1318,1502,12270,19487,12352,Alabama,1417,1659,558,195,0.8599663582842725,42.6,4965,075,1151,0.08067003083823941,0.7366194891817146,9054,650,14268,0.0391084945332212,0.23440860215053763,15,130,0.013666947014297728,415,6147,182,6045,1062,0.030107526881720432,3863,"Lamar County, Alabama",0.11627417998317914
1726,26986,0.12170999045868143,0.46314938564345765,Lauderdale County,01,0.2270424660487174,5230,9028,78934,22160,77748,Alabama,11994,9228,3245,2174,0.8507652511317094,40.9,29607,077,13900,0.14981677085578787,0.6974748649556745,64274,3069,92780,0.0349752101746066,0.2791184752507505,83,1903,0.023431774089243372,2950,38691,647,42971,10579,0.015056666123664797,21065,"Lauderdale County, Alabama",0.09946109075231731
186,10811,0.22798434442270057,0.4228757204078617,Lawrence County,01,0.2726171124575144,3262,3230,25899,21536,30131,Alabama,3214,3751,1542,663,0.7654499778336042,41.6,11671,079,2647,0.07823259937934092,0.8121243990384616,28416,1226,33835,0.04557410964977095,0.22462957785854068,112,179,0.019595093837741984,1167,13312,452,14308,2839,0.03159071847917249,9224,"Lawrence County, Alabama",0.11086153391458549
5864,34197,0.10968420469956547,0.48895053792543475,Lee County,01,0.15059205629609582,7926,8775,101394,21332,111096,Alabama,26277,34142,5787,5434,0.6860680695581568,30.2,41015,081,28447,0.19248257662900062,0.6037925737592034,77881,8700,147790,0.03915691183435956,0.3636351055879992,23,7378,0.03676838757696732,5361,56637,736,72262,29715,0.010185159558274058,22256,"Lee County, Alabama",0.23101698355775085
1707,24454,0.15636765222629387,0.45707664597840925,Limestone County,01,0.21420950589099086,6230,6859,67850,26219,75811,Alabama,12831,11133,3282,4934,0.7783909048148956,38.8,22720,083,13754,0.15778907155230765,0.7604801592237841,58082,3424,87167,0.037651863664001285,0.32204708598965914,8,1369,0.05660399004210309,2297,32156,653,39842,6997,0.016389739470910096,18672,"Limestone County, Alabama",0.12772035288583983
219,3178,0.20032763866136205,0.3913720461623008,Lowndes County,01,0.22604872687305366,856,1035,2754,17440,9808,Alabama,772,8060,694,102,0.25224400073273495,40.4,3956,085,961,0.08801978384319473,0.7413109400513179,9656,324,10918,0.06356475544971607,0.1806693189796396,0,65,0.0093423703975087,478,4287,138,4273,1067,0.032295810905686874,2468,"Lowndes County, Alabama",0.7382304451364718
428,5284,0.11406266941342297,0.4497927334796391,Macon County,01,0.18639356254572056,1052,1770,3255,16554,17290,Alabama,1927,16738,1644,305,0.15874177029992684,37.8,7101,087,2442,0.1190929041697147,0.6572956835427292,14937,654,20505,0.08017556693489393,0.20893418627344681,11,806,0.014874420872957815,1413,8039,80,9223,3970,0.00867396725577361,3822,"Macon County, Alabama",0.8162887100707145
9806,93421,0.11069503034131156,0.5166113585973213,Madison County,01,0.1417275346780138,19628,25057,225888,29236,287883,Alabama,72134,82307,16475,15984,0.6581262072843496,37.6,82939,089,88796,0.2587077432268252,0.6899172137745645,184512,6564,343229,0.04800002330805381,0.40681044011820705,146,10604,0.04656949150567114,7649,135409,961,177316,34453,0.00541970267770534,48645,"Madison County, Alabama",0.23980199808291258
102,6060,0.17462311557788945,0.3885011469569037,Marengo County,01,0.2829811118160964,1390,2003,9389,19429,17930,Alabama,2051,10512,851,425,0.4582458880374835,42.1,7529,091,2225,0.10859485577627019,0.7148755455939602,16509,844,20489,0.04153448191712626,0.2576633165829146,0,203,0.02074283762018644,671,8477,186,7960,1763,0.02336683417085427,5798,"Marengo County, Alabama",0.5130557860315291
253,9503,0.18291355721393035,0.4213974514364333,Marion County,01,0.24247387558554723,2353,3416,28105,18143,25987,Alabama,3214,1129,1449,706,0.9206603989910571,43.8,10463,093,2409,0.07891374848494775,0.7540866529122362,22001,1024,30527,0.047466177482228845,0.24984452736318408,0,515,0.02312706784158286,1346,12602,449,12864,2398,0.03490360696517413,7402,"Marion County, Alabama",0.036983653814655876
860,24768,0.19501622511745048,0.4387331201325953,Marshall County,01,0.21578606262151911,8053,8440,78149,20875,79647,Alabama,10733,1703,3703,11830,0.8303035454361939,38.6,28582,095,10088,0.107181181670403,0.7174139728884255,65024,3348,94121,0.03934297340657239,0.25991669491935876,111,1250,0.1256892723196736,3663,34524,977,41294,8299,0.023659611565844917,20310,"Marshall County, Alabama",0.018093730410854113
10938,102973,0.10545331256688174,0.4559069666340615,Mobile County,01,0.21513362074170683,19906,32789,242009,22714,349626,Alabama,53158,144637,20366,10710,0.5844992694030842,36.9,116558,097,58139,0.14041710442101704,0.6669235751295337,300272,4250,414045,0.049187890205170934,0.2816079166799106,254,7811,0.025866753613737636,6287,154400,2346,188766,41230,0.012428085566256636,89075,"Mobile County, Alabama",0.34932676399908225
401,6033,0.177870516580194,0.393886889688569,Monroe County,01,0.27446799058154514,1577,2133,12333,18041,20030,Alabama,1806,9449,1646,234,0.5479141676662668,40.9,7930,099,1885,0.08374428006575148,0.7190703218116806,19003,585,22509,0.07312630503354214,0.20369952628017143,13,145,0.010395841663334666,300,8390,260,8866,1923,0.02932551319648094,6178,"Monroe County, Alabama",0.4197876404993558
7009,53528,0.0962902447175907,0.47068385405287305,Montgomery County,01,0.16888791785012017,10372,15773,85400,24221,176792,Alabama,35542,127389,9326,7956,0.37317019882018787,34.9,59788,101,46026,0.2011186366615687,0.6004733966772489,163803,9189,228850,0.04075158400699148,0.32996026588436256,6,7038,0.03476512999781516,7342,89143,561,107716,25779,0.005208139923502544,38650,"Montgomery County, Alabama",0.5566484596897531
1742,32616,0.18355178527969962,0.4804082041688936,Morgan County,01,0.21730525120256547,10559,10372,92275,22974,102364,Alabama,14968,14413,5884,9304,0.7706022848743987,39.1,32445,103,16199,0.13528026456440406,0.7112700628053036,81901,3964,119744,0.049138161411010156,0.2601953899106491,37,1531,0.07769909139497595,4297,45856,571,57526,10101,0.009925946528526231,26021,"Morgan County, Alabama",0.12036511223944414
355,2204,0.1933525087887504,0.3066745074977948,Perry County,01,0.23728315201411349,605,1158,3045,12553,9285,Alabama,617,6974,533,88,0.2984416348132902,36.3,4489,105,568,0.05566990100950701,0.6754520380018388,8975,344,10203,0.052239537390963445,0.19718759987216364,0,188,0.008624914240909536,249,3263,238,3129,1567,0.07606263982102908,2421,"Perry County, Alabama",0.6835244535920808
97,5576,0.15821970671469,0.3960466656477661,Pickens County,01,0.2940037699322431,1230,1930,10920,17106,17648,Alabama,1264,8387,1283,154,0.5563197310102399,42.3,7164,107,1305,0.06648326455754242,0.7203203720449555,15896,359,19629,0.06536247389067197,0.16259325958322615,0,339,0.007845534668093127,762,7741,365,7774,1711,0.04695137638281451,5771,"Pickens County, Alabama",0.4272759692292017
651,7513,0.1552211302211302,0.4901252408477842,Pike County,01,0.19538776493256263,2527,2541,18995,19023,27035,Alabama,4321,12103,1526,750,0.57186295761079,31.1,10151,109,4547,0.13689185934489403,0.581997056317298,24950,1846,33216,0.04594171483622351,0.2654176904176904,38,852,0.022579479768786128,1462,12909,350,16280,7358,0.0214987714987715,6490,"Pike County, Alabama",0.364372591522158
492,6432,0.26071465996018023,0.4199524731561345,Randolph County,01,0.26051751452209115,2488,2259,17095,20272,19707,Alabama,2240,4555,1090,658,0.7522883295194508,42,7740,111,1927,0.08480021123041719,0.7133984028393966,14010,324,22724,0.04796690723464179,0.23472702504453527,9,562,0.028956169688435136,614,9016,273,9543,2041,0.028607356177302735,5920,"Randolph County, Alabama",0.20044886463650766
3583,12636,0.10693433575941774,0.43885573885573886,Russell County,01,0.21268866268866268,2674,4091,28839,21508,45610,Alabama,5598,23836,2968,2592,0.5061249561249561,35,15899,113,5755,0.101000351000351,0.5858679525222552,18528,1192,56980,0.052088452088452086,0.22386627209469728,7,3272,0.04548964548964549,1695,21568,187,25006,5364,0.007478205230744621,12119,"Russell County, Alabama",0.41832221832221833
951,25535,0.13096865664084256,0.46336313085098896,St. Clair County,01,0.24490274747190352,5173,7402,73778,25614,73591,Alabama,10480,7952,3585,1861,0.8655123061401656,39.5,23959,115,9087,0.10660237910888998,0.8062071796167083,66826,3859,85242,0.042056732596607305,0.26532989012101876,45,973,0.02183196077051219,3966,31673,232,39498,6639,0.005873715124816446,20876,"St. Clair County, Alabama",0.09328734661317191
4531,58945,0.07410782080485953,0.5237413505130041,Shelby County,01,0.1437157003101885,7808,14636,159233,32850,171503,Alabama,42231,23050,6313,11892,0.7915423924282192,37.5,44145,117,54284,0.2698441103952915,0.788140125685252,127915,9916,201168,0.031381730692754316,0.4008257403189066,35,4238,0.05911476974469101,9068,74790,805,105360,15955,0.007640470766894457,28911,"Shelby County, Alabama",0.11458084784856438
230,3481,0.11021069692058347,0.41338494751730814,Sumter County,01,0.24722697833693144,612,1085,3288,14369,12045,Alabama,1179,9811,890,63,0.2447703416958237,36.8,4962,119,1242,0.09245886994714508,0.7015316404675535,9646,480,13433,0.06625474577532942,0.21231766612641814,0,228,0.004689942678478374,422,4962,123,5553,2373,0.02215018908698001,3321,"Sumter County, Alabama",0.730365517754783
1423,22337,0.17995322230676022,0.4345009978817969,Talladega County,01,0.2587146302939772,6386,7311,52292,19033,69562,Alabama,7938,26046,5198,1742,0.6402605512225582,40.3,25291,121,6967,0.08530358870128439,0.7141669597467788,66987,3430,81673,0.06364404393128696,0.2236875475526249,46,1585,0.02132895816242822,4020,31277,606,35487,7189,0.01707667596584665,21130,"Talladega County, Alabama",0.3189058807684302
725,11614,0.21852598566308243,0.4324010170722848,Tallapoosa County,01,0.24867417362876862,3902,4436,28551,21816,35646,Alabama,4708,11457,1715,1036,0.6913912095895387,42.5,13864,123,5091,0.12328369051943334,0.7065766259049705,33998,1401,41295,0.041530451628526456,0.26366487455197135,27,406,0.025087783024579247,1774,16437,246,17856,3346,0.013776881720430107,10269,"Tallapoosa County, Alabama",0.2774427896839811
4219,43975,0.11276027086128396,0.4764735491015251,Tuscaloosa County,01,0.18612774953440378,10674,12501,126998,21501,158913,Alabama,30030,60376,7731,6319,0.6392409523330146,31.6,60337,125,33226,0.1672421603664368,0.6457131110230092,145895,7865,198670,0.038913776614486334,0.3172372994158101,50,6716,0.031806513313535005,5000,68103,1862,94661,36709,0.019670191525549066,36978,"Tuscaloosa County, Alabama",0.30390094125937483
882,18946,0.09288995039500275,0.41103442026249415,Walker County,01,0.24435516757034328,2528,6738,59498,19374,55564,Alabama,6231,3764,3437,1438,0.8986120131096041,42.4,23461,127,4918,0.07427768799746266,0.74091744554378,53882,2216,66211,0.051909803506970144,0.2289546206136322,0,728,0.021718445575508602,1773,25571,1544,27215,5549,0.05673341907036561,16179,"Walker County, Alabama",0.0568485599069641
129,5392,0.19635908838243468,0.4199101359631207,Washington County,01,0.32496936453288205,1413,1560,11195,21744,15617,Alabama,1263,4169,1421,200,0.6532648654957111,40.2,5679,129,1179,0.06879850615627006,0.867159858475394,13292,615,17137,0.08291999766586917,0.17551417454141188,88,91,0.011670654140164556,613,6218,350,7196,1517,0.048638132295719845,5569,"Washington County, Alabama",0.24327478555173018
92,2832,0.11876621504756414,0.3051816662267969,Wilcox County,01,0.2767660772411366,412,1049,3082,13664,10372,Alabama,689,8205,750,68,0.27113574381982936,39.3,4683,131,860,0.07565760534881676,0.7369242779078845,10519,288,11367,0.06598046978094484,0.19861631594119342,2,13,0.005982229260138999,735,3843,129,3469,967,0.03718650908042664,3146,"Wilcox County, Alabama",0.7218263394035366
253,7204,0.21811031561964303,0.4088472955145119,Winston County,01,0.23787928759894458,2163,2772,22916,17607,20331,Alabama,2201,168,974,665,0.9447559366754618,43.9,8818,133,1922,0.07923812664907652,0.7562460634054168,18932,959,24256,0.04015501319261214,0.22194211959261873,16,277,0.02741589709762533,1151,9526,194,9917,1781,0.019562367651507512,5770,"Winston County, Alabama",0.006926121372031662
19,324,0.7033834586466166,0.8070388349514563,Aleutians East Borough,02,0.3118932038834951,1871,131,456,23417,2603,Alaska,281,342,59,441,0.1383495145631068,41.3,258,013,320,0.0970873786407767,0.561525129982669,936,86,3296,0.017900485436893203,0.10563909774436091,67,407,0.1337985436893204,347,577,142,2660,378,0.05338345864661654,1028,"Aleutians East Borough, Alaska",0.10376213592233009
555,388,0.4253711904141704,0.6794690265486726,Aleutians West Census Area,02,0.2651327433628319,1633,276,1633,25992,4593,Alaska,603,295,110,596,0.2890265486725664,38.4,677,016,630,0.11150442477876106,0.351131221719457,1178,107,5650,0.019469026548672566,0.1570721542068247,41,433,0.10548672566371682,52,1105,94,3839,646,0.024485543110184943,1498,"Aleutians West Census Area, Alaska",0.05221238938053097
