FromOtherCounty10,ToOtherState10,highschool_r10,65to74_10,county_name,state_fips,HighSchool10,CountyFIPS,Black10,Population10,black_r10,State10,BornInState10,Agriculture10,Management10,MedianAge10,Tenure10,hisp_r10,Bachelor10,SameHouse10,Hispanic10,White10,ToOtherCounty10,univ_r10,CountyState10,Owner10,MedianIncome10,homeowner_r10,FromOtherState10,Manufacture10,white_r10,18to24_10,Foodstamp10
2269,2140,0.1894558315580467,3922,Coffee County,01,9160,031,8377,48349,0.17326108089102152,Alabama,29502,905,6249,37.9,18928,0.05609216322984963,7152,38640,2712,35316,2002,0.1479244658627893,"Coffee County, Alabama",13192,22811,0.6969568892645815,2369,2271,0.7304390990506525,4240,0
2221,556,0.2391911251515263,5069,Colbert County,01,13023,033,8745,54446,0.16061785989788047,Alabama,42005,407,6262,41.6,22165,0.019854534768394373,6231,45738,1081,43572,1835,0.11444366895639717,"Colbert County, Alabama",16293,20957,0.735077825400406,1271,3849,0.8002791756970209,4321,18
87,77,0.24652518308175161,1256,Conecuh County,01,3299,035,6189,13382,0.46248692273202807,Alabama,10874,150,952,43.4,4861,0.0031385443132566134,865,12603,42,6930,508,0.06463906740397549,"Conecuh County, Alabama",3966,15885,0.8158815058629911,85,916,0.5178598116873412,1263,0
658,45,0.3025283347863993,1143,Coosa County,01,3470,037,3874,11470,0.3377506538796861,Alabama,9719,149,941,43.8,4561,0.0012205754141238012,862,10099,14,7517,944,0.07515257192676547,"Coosa County, Alabama",3819,18974,0.8373163779872835,221,1261,0.6553618134263296,865,0
530,792,0.25834928738566265,3636,Covington County,01,9716,039,4837,37608,0.1286162518613061,Alabama,28737,1074,3860,42.1,14663,0.013321633694958519,3402,32971,501,31685,1018,0.0904594767070836,"Covington County, Alabama",10857,18621,0.7404351087771943,842,2673,0.842506913422676,3047,0
496,163,0.2619184376794945,1230,Crenshaw County,01,3648,041,2901,13928,0.2082854681217691,Alabama,11180,523,1633,39.5,5641,0.012851809304997129,968,12307,179,10021,668,0.06950028719126938,"Crenshaw County, Alabama",3827,18097,0.6784258110264137,256,883,0.7194859276278002,1059,0
2547,1257,0.22768041430555033,7032,Cullman County,01,18201,043,729,79941,0.009119225428753706,Alabama,60435,1380,8743,39.5,31263,0.039654245005691695,7480,67465,3170,74469,2427,0.0935690071427678,"Cullman County, Alabama",23361,20588,0.747241147682564,1652,6298,0.9315495177693549,6936,0
2903,2589,0.1940277498491856,3796,Dale County,01,9649,045,9888,49730,0.19883370199075004,Alabama,27409,300,5200,35.8,19545,0.052402976070782224,5707,37465,2606,35461,2445,0.11475970239292178,"Dale County, Alabama",11958,22389,0.6118188795088257,3460,2155,0.713070581138146,4753,14
832,596,0.23287795579358236,3388,Dallas County,01,10262,047,30322,44066,0.6881042073253756,Alabama,38360,259,3879,36.8,16795,0.007080288657922208,4002,37272,312,13161,1130,0.09081831797757908,"Dallas County, Alabama",10509,16352,0.6257219410538851,935,3246,0.2986656379067762,4135,0
1210,1164,0.22335018133013507,5528,DeKalb County,01,15643,049,1120,70038,0.015991318998258088,Alabama,46769,965,6241,37,25937,0.12241925811702219,5058,60530,8574,58127,2002,0.07221793883320483,"DeKalb County, Alabama",20103,18834,0.7750703628021745,1307,9090,0.8299351780462035,5502,52
6508,1591,0.23452672247263362,5306,Elmore County,01,18211,051,15611,77650,0.20104314230521572,Alabama,56128,285,10964,37.3,27762,0.025305859626529297,10471,63881,1965,58445,4111,0.1348486799742434,"Elmore County, Alabama",21545,24155,0.7760608025358403,1601,4098,0.7526722472633612,7127,0
1031,1051,0.24042004421518054,3192,Escambia County,01,9135,053,11936,37996,0.3141383303505632,Alabama,26962,429,3358,38.3,13804,0.01900200021054848,2828,33203,722,23517,833,0.07442888725128961,"Escambia County, Alabama",10152,18348,0.7354390031874819,932,2250,0.6189335719549426,3174,76
3905,1593,0.22661580151057983,8710,Etowah County,01,23583,055,15658,104066,0.1504622066765322,Alabama,82312,371,12105,40,41584,0.03078815367170834,11226,85808,3204,83090,3279,0.10787384928795188,"Etowah County, Alabama",30348,20430,0.7297999230473259,2194,6877,0.7984356081717372,8840,45
789,278,0.2602449633699634,1824,Fayette County,01,4547,057,1954,17472,0.11183608058608059,Alabama,14274,411,1639,42.4,7164,0.010531135531135532,1142,15044,184,14999,1013,0.06536172161172162,"Fayette County, Alabama",5442,18304,0.7596314907872697,472,1746,0.8584592490842491,1442,0
1025,668,0.21393748207628333,2650,Franklin County,01,6714,059,1329,31383,0.042347767899818374,Alabama,22084,428,2838,38.5,12367,0.13172736832042825,2454,26278,4134,25497,1397,0.07819520122359239,"Franklin County, Alabama",8557,18045,0.6919220506185817,354,4389,0.8124462288500144,2776,51
1281,661,0.25786518970649186,2577,Geneva County,01,6844,061,2711,26541,0.1021438529068234,Alabama,19062,606,2526,42.2,10720,0.03202592215817038,1464,22153,850,22544,1111,0.05515994122301345,"Geneva County, Alabama",7677,16974,0.7161380597014926,660,1791,0.8494028107456388,2258,5
269,57,0.24257158292814696,752,Greene County,01,2245,063,7444,9255,0.8043219881145327,Alabama,8100,52,645,41.9,3522,0.010480821177741762,605,8090,97,1663,363,0.06537007023230686,"Greene County, Alabama",2505,15594,0.7112436115843271,46,329,0.17968665586169638,821,24
704,123,0.2229713013359723,1247,Hale County,01,3605,065,9570,16168,0.5919099455714992,Alabama,13920,528,1419,39.1,5843,0.0035254824344383966,1050,14235,57,6401,653,0.06494309747649678,"Hale County, Alabama",4342,16322,0.7431114153688174,335,1320,0.39590549233052946,1424,0
419,417,0.26440401212969444,1577,Henry County,01,4534,067,5021,17148,0.29280382551901096,Alabama,12582,321,1787,42.4,6656,0.01947749008630744,1795,15816,334,11490,746,0.10467693025425706,"Henry County, Alabama",5450,19828,0.8188100961538461,155,1314,0.6700489853044087,1340,0
2322,2034,0.2220864595219582,7611,Houston County,01,21993,069,25150,99029,0.25396600995667934,Alabama,66452,610,13087,38,38035,0.026335719839642932,12549,83673,2608,68671,3837,0.1267204556241101,"Houston County, Alabama",25642,21546,0.6741685289864598,3084,4670,0.6934433347807208,8280,26
852,1283,0.25206983104184616,5029,Jackson County,01,13457,071,1786,53386,0.033454463717079386,Alabama,35920,480,5123,41.4,21173,0.02270258120106395,4433,47247,1212,48197,1312,0.08303675120818192,"Jackson County, Alabama",16226,20170,0.7663533745808341,984,5888,0.9028022327951148,4134,17
15312,12600,0.18673429622232507,42992,Jefferson County,01,122668,073,274357,656912,0.4176465036412792,Alabama,498814,1760,107651,37,260441,0.03436837810848333,125671,538208,22577,345119,20888,0.19130568477969653,"Jefferson County, Alabama",173937,24572,0.6678556755656752,13500,27396,0.5253656501936332,64488,54
390,201,0.2896968052635149,1530,Lamar County,01,4271,075,1804,14743,0.12236315539578105,Alabama,9618,118,1371,42.2,5944,0.011802211218883538,951,12936,174,12665,302,0.0645051889032083,"Lamar County, Alabama",4464,17112,0.7510094212651414,392,1407,0.8590517533744828,1096,0
3777,2018,0.22962664283690418,8241,Lauderdale County,01,21071,077,9395,91762,0.10238442928445327,Alabama,63964,491,11021,39.7,37713,0.020400601556199733,13316,76985,1872,78884,2562,0.1451145354286088,"Lauderdale County, Alabama",27521,20753,0.7297483626335747,2546,4874,0.8596586822431943,9823,52
664,393,0.26496275741200526,2813,Lawrence County,01,9071,079,3842,34235,0.11222433182415656,Alabama,28263,311,3320,40.2,13412,0.017467504016357528,2476,30486,598,26359,1750,0.07232364539214255,"Lawrence County, Alabama",10558,20041,0.7872054876230241,470,3322,0.7699430407477728,2999,14
8231,5170,0.14910006666172876,7026,Lee County,01,20130,081,30775,135010,0.22794607806829123,Alabama,71531,854,22210,28.8,54016,0.030086660247389083,23384,101844,4062,94891,4837,0.17320198503814532,"Lee County, Alabama",34686,20997,0.6421430687203792,6958,7307,0.7028442337604622,28838,5
4296,1416,0.22205968402574605,5590,Limestone County,01,17457,083,10043,78614,0.12775078230340653,Alabama,53041,543,11280,38.5,30028,0.049825730785865115,11097,66737,3917,62528,2449,0.1411580634492584,"Limestone County, Alabama",23140,24595,0.7706140935127215,1732,7266,0.7953799577683365,6237,14
353,160,0.2546244991901799,1050,Lowndes County,01,2987,085,8566,11731,0.7302020288125479,Alabama,10205,153,743,39.7,4205,0.00903588781860029,972,10551,106,2964,441,0.08285738641207058,"Lowndes County, Alabama",3170,15569,0.7538644470868014,92,1011,0.252663882021993,1112,0
613,791,0.17724319093045762,1586,Macon County,01,3846,087,18038,21699,0.8312825475828379,Alabama,15769,75,2129,35.8,7969,0.006405825153232868,2760,17416,139,3248,946,0.12719480160376054,"Macon County, Alabama",5422,15277,0.6803864976785042,1507,702,0.14968431724964285,3823,5
7011,8701,0.1458864677479262,22217,Madison County,01,47133,089,76057,323080,0.2354122817877925,Alabama,173824,978,67656,37.1,126564,0.040342949114770335,79371,265269,13034,216630,8376,0.24566980314473197,"Madison County, Alabama",89162,27434,0.7044815271325179,12384,22908,0.670515042713879,33111,88
981,568,0.24718256949661907,1881,Marengo County,01,5264,091,11309,21296,0.5310386927122465,Alabama,17750,354,2163,40.1,8494,0.0033809166040570998,2498,18454,72,9740,617,0.11729902329075882,"Marengo County, Alabama",6241,17407,0.7347539439604427,138,1566,0.4573628850488355,1821,0
1051,527,0.2496752403221616,3194,Marion County,01,7688,093,892,30792,0.028968563263185244,Alabama,22299,690,3006,42,12744,0.019063393089114054,1917,26725,587,28563,1133,0.062256430241621204,"Marion County, Alabama",9665,18498,0.7583961079723791,407,3217,0.9276110678098207,2282,0
2943,939,0.21327874806035194,7546,Marshall County,01,19380,095,1471,90867,0.016188495273311544,Alabama,61934,983,9731,38,34433,0.10885139819736538,8760,75422,9891,77468,3064,0.09640463534616528,"Marshall County, Alabama",24955,20043,0.7247408009758081,1833,8287,0.852542727282732,7661,72
4535,11522,0.2213254368361803,28450,Mobile County,01,90438,097,140847,408620,0.34468944251382705,Alabama,297026,2430,51223,36.3,153302,0.021668053448191473,52134,345971,8854,243844,5947,0.12758553178992707,"Mobile County, Alabama",104815,21219,0.6837158027944841,9129,19544,0.5967500367089227,40668,199
355,547,0.26340606112563764,1865,Monroe County,01,6145,099,9474,23329,0.4061039907411376,Alabama,19608,524,2175,39.7,9191,0.0106305456727678,1726,21099,248,12902,362,0.07398516867418235,"Monroe County, Alabama",6784,18371,0.7381133717767381,286,2077,0.5530455656050409,1896,23
8062,6246,0.17527563613398942,14230,Montgomery County,01,39966,101,122759,228018,0.538374163443237,Alabama,162569,618,36206,34.6,88772,0.03147558526081274,44372,179154,7177,91145,8042,0.19459867203466394,"Montgomery County, Alabama",56083,22888,0.6317645203442527,7469,10913,0.3997272145181521,25911,11
4039,1719,0.21286724700761697,9201,Morgan County,01,25040,103,13893,117632,0.11810561751904244,Alabama,81064,681,15072,38.5,46375,0.06789819096844396,15120,99957,7987,92587,4468,0.12853645266594124,"Morgan County, Alabama",33909,22385,0.7311913746630728,1706,11063,0.7870902475516867,9841,63
779,110,0.23511793335829279,964,Perry County,01,2512,105,7368,10684,0.6896293523025084,Alabama,9425,171,788,35.2,3828,0.011606140022463497,885,9264,124,3156,586,0.08283414451516286,"Perry County, Alabama",2595,11973,0.6778996865203761,184,472,0.2953949831523774,1339,0
359,326,0.2808655922076618,1814,Pickens County,01,5594,107,8400,19917,0.42175026359391476,Alabama,16109,397,1514,40.7,8008,0.011296882060551287,1537,18324,225,11135,371,0.07717025656474369,"Pickens County, Alabama",5936,16919,0.7412587412587412,253,1457,0.5590701410855048,1717,0
2553,602,0.20564904967804148,2286,Pike County,01,6611,109,11663,32147,0.3628021277257598,Alabama,24275,386,3751,31.7,13013,0.02193050673468753,4417,24703,705,18549,1561,0.13740006843562386,"Pike County, Alabama",7323,16794,0.562744947360332,809,2171,0.577005630385417,6717,18
695,411,0.24367795941622475,2092,Randolph County,01,5560,111,4781,22817,0.20953674891528246,Alabama,14900,336,2009,40,8529,0.024674584739448658,1870,19303,563,17216,471,0.08195643599070868,"Randolph County, Alabama",6474,18176,0.7590573338023215,898,2378,0.7545251347679361,2092,0
789,3442,0.2282871687668157,3726,Russell County,01,11794,113,21484,51663,0.41584886669376536,Alabama,19767,331,4345,36.4,20174,0.03356367226061204,3971,40270,1734,27222,2644,0.07686351934653426,"Russell County, Alabama",12562,19550,0.6226826608505998,3489,2640,0.5269148133093317,4876,9
3998,968,0.24746460363510128,6273,St. Clair County,01,19960,115,6906,80658,0.08562076917354756,Alabama,63146,546,10067,38.2,29574,0.019663269607478488,7924,68374,1586,70691,3010,0.0982419598799871,"St. Clair County, Alabama",24320,24214,0.8223439507675661,1484,5001,0.8764288725234942,6590,12
10256,4125,0.14808920587609112,11287,Shelby County,01,27823,117,19271,187880,0.10257078986587183,Alabama,118852,1073,40551,36.5,71759,0.05189482648499042,49505,157746,9750,153241,6893,0.2634926548860975,"Shelby County, Alabama",57844,33737,0.80608704134673,4280,7107,0.8156323185011709,14572,19
38,253,0.2505226732030856,996,Sumter County,01,3475,119,10197,13871,0.7351308485329104,Alabama,9664,233,1150,36.9,4952,0.0072813784153990336,1103,12121,101,3340,555,0.07951841972460529,"Sumter County, Alabama",3381,13037,0.6827544426494345,255,1113,0.2407901376973542,1914,0
3764,1106,0.2504766415291389,6447,Talladega County,01,20626,121,26278,82347,0.3191130217251387,Alabama,67145,687,7836,38.6,31151,0.01902922996587611,6631,68669,1567,53398,3906,0.0805250950247125,"Talladega County, Alabama",22728,19059,0.7296073962312606,2022,6905,0.648451066826964,7136,0
1638,334,0.23578273221938653,3928,Tallapoosa County,01,9793,123,11095,41534,0.2671305436509847,Alabama,33648,267,4809,41.2,16282,0.021355997496027353,4517,34574,887,28992,1598,0.10875427360716522,"Tallapoosa County, Alabama",11931,19928,0.7327723866846825,903,3968,0.6980305292049886,3354,0
9219,4028,0.18374032952620653,10781,Tuscaloosa County,01,34604,125,56014,188331,0.29742315391518126,Alabama,141605,2130,27635,31.2,69175,0.02768529875591379,29017,148261,5214,123138,4816,0.15407447525898552,"Tuscaloosa County, Alabama",43816,21029,0.6334080231297434,5293,10903,0.6538381891457062,36483,29
1976,645,0.2477666686387032,6041,Walker County,01,16752,127,4082,67612,0.06037389812459327,Alabama,55590,1582,6168,40.5,25800,0.018295568833934805,4533,58912,1237,61302,2058,0.06704431166065196,"Walker County, Alabama",20036,19298,0.7765891472868217,1025,2860,0.9066733715908418,5242,8
544,225,0.2988152198678514,1418,Washington County,01,5246,129,4468,17556,0.25449988607883345,Alabama,13081,398,1339,39.4,6672,0.007518796992481203,1077,15995,132,11442,501,0.061346548188653455,"Washington County, Alabama",5537,19478,0.8298860911270983,555,1460,0.651742993848257,1476,133
723,68,0.22843822843822845,894,Wilcox County,01,2744,131,8763,12012,0.7295204795204795,Alabama,10717,117,572,36.7,3732,0.0027472527472527475,1010,10790,33,3205,408,0.08408258408258408,"Wilcox County, Alabama",2865,12107,0.7676848874598071,78,478,0.2668165168165168,947,0
1309,83,0.23522501721553854,2429,Winston County,01,5807,133,75,24687,0.0030380362133916637,Alabama,19014,471,2391,42.6,9478,0.025033418398347308,1933,20612,618,23482,836,0.07830032000648114,"Winston County, Alabama",6992,16748,0.7377083772947879,315,2656,0.951188884838174,1742,7
34,14,0.22117202268431002,100,Aleutians East Borough,02,819,013,406,3703,0.10964083175803403,Alaska,541,44,193,38.5,267,0.15473940048609236,291,2235,573,211,284,0.07858493113691602,"Aleutians East Borough, Alaska",158,21138,0.5917602996254682,962,2757,0.05698082635700783,371,12
162,1020,0.2779996804601374,215,Aleutians West Census Area,02,1740,016,676,6259,0.10800447355807637,Alaska,587,48,461,42,521,0.188208979070139,453,4296,1178,1489,202,0.07237577887841508,"Aleutians West Census Area, Alaska",189,22460,0.362763915547025,1421,4115,0.23789742770410607,635,18
6161,35749,0.1426862773378549,12195,Anchorage Municipality,02,40561,020,15228,284267,0.053569355570643094,Alaska,95600,4897,55844,33,104315,0.07381440687804071,58411,215081,20983,181868,6039,0.20547935567617767,"Anchorage Municipality, Alaska",64368,33645,0.617054114940325,16067,2722,0.6397787995089124,32660,1066
549,68,0.2028744506473453,578,Bethel Census Area,02,3416,050,44,16838,0.0026131369521320822,Alaska,14878,61,2385,25.8,4291,0.013481411093954152,1199,13439,227,1896,958,0.07120798194559924,"Bethel Census Area, Alaska",2632,14848,0.6133768352365416,243,54,0.11260244684641882,2021,1252
76,12,0.16682554814108674,77,Bristol Bay Borough,02,175,060,0,1049,0.0,Alaska,569,15,163,38.9,410,0.029551954242135366,101,811,31,483,28,0.09628217349857007,"Bristol Bay Borough, Alaska",232,39453,0.5658536585365853,40,0,0.4604385128693994,31,4
15,181,0.21853146853146854,51,Denali Borough,02,250,068,19,1144,0.016608391608391608,Alaska,324,38,232,42.4,428,0.007867132867132868,232,977,9,999,304,0.20279720279720279,"Denali Borough, Alaska",260,50329,0.6074766355140186,100,0,0.8732517482517482,14,6
228,15,0.17500518995225245,224,Dillingham Census Area,02,843,070,11,4817,0.002283578991073282,Alaska,3817,75,851,28.9,1408,0.02096740709985468,535,4015,101,911,294,0.11106497820220054,"Dillingham Census Area, Alaska",855,17827,0.6072443181818182,148,39,0.18912186007888726,543,199
2471,13426,0.1588644521860672,3628,Fairbanks North Star Borough,02,15003,090,4189,94439,0.04435667467889325,Alaska,30420,1626,15106,30.8,34596,0.05698916761083874,15361,69399,5382,70247,1963,0.16265525895022184,"Fairbanks North Star Borough, Alaska",20696,30882,0.598219447334952,6627,1345,0.7438346445853937,13147,331
57,320,0.24849215922798554,149,Haines Borough,02,412,100,3,1658,0.0018094089264173703,Alaska,461,17,303,49.6,744,0.025934861278648975,396,1500,43,1337,96,0.2388419782870929,"Haines Borough, Alaska",554,23357,0.7446236559139785,20,23,0.8063932448733414,22,2
103,8,0.23656973878758009,205,Hoonah-Angoon Census Area,02,480,105,4,2029,0.001971414489896501,Alaska,1091,88,391,45.7,1004,0.05224248398225727,447,1727,106,874,46,0.22030556924593395,"Hoonah-Angoon Census Area, Alaska",643,22441,0.6404382470119522,38,29,0.4307540660423854,55,169
825,2546,0.15819209039548024,1492,Juneau City and Borough,02,4900,110,234,30975,0.0075544794188861985,Alaska,12263,920,6747,38.6,12005,0.05317191283292978,7157,24000,1647,21099,586,0.23105730427764326,"Juneau City and Borough, Alaska",7687,35688,0.6403165347771762,1626,158,0.6811622276029056,2915,308
1574,4805,0.21911456497950554,3492,Kenai Peninsula Borough,02,11814,122,302,53917,0.005601201847283788,Alaska,18756,3003,7429,40.6,22303,0.030973533393920286,8130,43633,1670,44889,1377,0.15078732125303707,"Kenai Peninsula Borough, Alaska",16208,25263,0.7267183786934494,1941,1079,0.8325574494129866,4463,185
382,1568,0.20035831591519856,759,Ketchikan Gateway Borough,02,2684,130,51,13396,0.0038071065989847717,Alaska,5556,152,1997,38.3,5629,0.043371155568826515,2155,10201,581,8999,339,0.16086891609435652,"Ketchikan Gateway Borough, Alaska",3329,31383,0.5914016699236099,579,284,0.671767691848313,1236,229
577,1686,0.16300846505356206,691,Kodiak Island Borough,02,2176,150,125,13349,0.009363997303168777,Alaska,4452,964,1338,33.5,4409,0.07678477788598397,1744,10411,1025,7079,449,0.13064649037381076,"Kodiak Island Borough, Alaska",2608,27746,0.5915173508732139,863,855,0.5303018952730542,1420,141
92,30,0.14268142681426815,71,Lake and Peninsula Borough,02,232,164,16,1626,0.00984009840098401,Alaska,1300,42,169,18,492,0.014145141451414513,101,1372,23,310,115,0.06211562115621156,"Lake and Peninsula Borough, Alaska",369,14175,0.75,49,16,0.1906519065190652,65,58
3786,6283,0.1930787788037601,4022,Matanuska-Susitna Borough,02,16247,170,867,84147,0.0103033976255838,Alaska,31133,2186,11973,34.7,29361,0.03726811413359953,10842,69388,3136,70246,3057,0.1288459481621448,"Matanuska-Susitna Borough, Alaska",23264,27031,0.7923435850277579,2627,837,0.8348010030066432,7372,150
265,280,0.22823403113258187,383,Nome Census Area,02,2126,180,105,9315,0.011272141706924315,Alaska,7629,90,1221,27.7,2693,0.011272141706924315,749,7390,105,1517,312,0.08040794417606012,"Nome Census Area, Alaska",1514,16365,0.5621982918678055,359,44,0.16285560923242082,1104,707
346,312,0.20469950293718933,323,North Slope Borough,02,1812,185,37,8852,0.004179846362403977,Alaska,7525,101,1172,26.1,1976,0.03750564844103028,625,7223,332,951,473,0.07060551287844555,"North Slope Borough, Alaska",955,15649,0.4832995951417004,207,0,0.10743334839584275,1906,286
316,114,0.21626320716865052,278,Northwest Arctic Borough,02,1617,188,17,7477,0.0022736391600909458,Alaska,6419,411,853,25.7,1802,0.012973117560518924,480,5842,97,888,319,0.06419687040256787,"Northwest Arctic Borough, Alaska",967,16563,0.5366259711431742,111,0,0.11876421024475056,1000,510
192,147,0.25331944806040096,288,Petersburg Census Area,02,973,195,0,3841,0.0,Alaska,1468,287,724,42.8,1559,0.0072897682895079405,742,3240,28,2788,276,0.19317885967196044,"Petersburg Census Area, Alaska",1196,29370,0.7671584348941629,85,278,0.7258526425410049,278,49
214,159,0.26420918830579265,425,Prince of Wales-Hyder Census Area,02,1455,198,9,5507,0.0016342836390049029,Alaska,2735,309,833,39.5,2386,0.022335209733067005,654,4326,123,2738,227,0.11875794443435628,"Prince of Wales-Hyder Census Area, Alaska",1647,21653,0.6902766135792121,233,165,0.49718540039949155,435,366
183,614,0.17472453339329885,557,Sitka City and Borough,02,1554,220,22,8894,0.002473577692826625,Alaska,3634,382,1733,40,3729,0.049359118506858556,1729,7038,439,5720,427,0.19440071958623792,"Sitka City and Borough, Alaska",2085,29829,0.5591311343523733,534,96,0.6431302001349224,937,96
10,224,0.11754385964912281,41,Skagway Municipality,02,134,230,24,1140,0.021052631578947368,Alaska,245,0,187,37.2,386,0.035964912280701755,233,800,41,998,40,0.2043859649122807,"Skagway Municipality, Alaska",228,31625,0.5906735751295337,135,1,0.875438596491228,173,0
345,373,0.19985580389329488,447,Southeast Fairbanks Census Area,02,1386,240,156,6935,0.022494592645998557,Alaska,2240,70,878,35.9,2485,0.03056957462148522,863,5117,212,5473,568,0.12444124008651766,"Southeast Fairbanks Census Area, Alaska",1621,25975,0.6523138832997988,653,201,0.7891852919971161,671,124
450,895,0.15073912138246928,435,Valdez-Cordova Census Area,02,1448,261,76,9606,0.007911721840516344,Alaska,3908,340,1505,39,3941,0.008640433062669164,1510,7119,83,6962,348,0.15719342077867998,"Valdez-Cordova Census Area, Alaska",2828,29859,0.7175843694493783,523,155,0.724755361232563,817,106
227,103,0.19113273857799407,236,Wade Hampton Census Area,02,1414,270,9,7398,0.0012165450121654502,Alaska,7047,56,675,21.5,1728,0.0040551500405515,251,6239,30,246,413,0.03392808867261422,"Wade Hampton Census Area, Alaska",1119,10546,0.6475694444444444,125,33,0.0332522303325223,1022,846
35,143,0.24379811804961504,273,Wrangell City and Borough,02,570,275,21,2338,0.008982035928143712,Alaska,1149,147,311,42.1,996,0.03122326775021386,249,2014,73,1593,151,0.10650128314798973,"Wrangell City and Borough, Alaska",784,24544,0.7871485943775101,60,30,0.6813515825491874,167,50
